#LIBRARY    ENDF/B-VII.1
#REACTION   N-14(N,P)C-14,SIG
#NUCLEUS    N-14
#MF         3
#MT         103
#E,eV        Sig,b        Interpolation
 5E+06       0.0293308    Lin-Lin
 5.05E+06    0.0295925    Lin-Lin
 5.1E+06     0.0297771    Lin-Lin
 5.15E+06    0.0282089    Lin-Lin
 5.2E+06     0.0256131    Lin-Lin
 5.25E+06    0.0231992    Lin-Lin
 5.3E+06     0.0210448    Lin-Lin
 5.35E+06    0.0193664    Lin-Lin
 5.4E+06     0.0180937    Lin-Lin
 5.45E+06    0.0169639    Lin-Lin
 5.5E+06     0.0160868    Lin-Lin
 5.55E+06    0.0161164    Lin-Lin
 5.6E+06     0.0165128    Lin-Lin
 5.65E+06    0.0171167    Lin-Lin
 5.7E+06     0.0177712    Lin-Lin
 5.75E+06    0.0184911    Lin-Lin
 5.8E+06     0.0194336    Lin-Lin
 5.85E+06    0.0199359    Lin-Lin
 5.86179E+06 0.0198417    Lin-Lin
 5.9E+06     0.0189459    Lin-Lin
 5.95E+06    0.0171915    Lin-Lin
 6E+06       0.0153318    Lin-Lin
 6.05E+06    0.0130424    Lin-Lin
 6.1E+06     0.0131968    Lin-Lin
 6.15E+06    0.014708     Lin-Lin
 6.2E+06     0.016855     Lin-Lin
 6.25E+06    0.0192794    Lin-Lin
 6.3E+06     0.0218621    Lin-Lin
 6.35E+06    0.0227826    Lin-Lin
 6.39309E+06 0.0221135    Lin-Lin
 6.4E+06     0.0219072    Lin-Lin
 6.45E+06    0.0195559    Lin-Lin
 6.5E+06     0.0158792    Lin-Lin
 6.54189E+06 0.0146164    Lin-Lin
 6.55E+06    0.0144322    Lin-Lin
 6.6E+06     0.0139177    Lin-Lin
 6.65E+06    0.0143846    Lin-Lin
 6.7E+06     0.0150771    Lin-Lin
 6.72885E+06 0.0154883    Lin-Lin
 6.75E+06    0.0157703    Lin-Lin
 6.8E+06     0.0163413    Lin-Lin
 6.84613E+06 0.0167001    Lin-Lin
 6.85E+06    0.0167127    Lin-Lin
 6.9E+06     0.0166752    Lin-Lin
 6.95E+06    0.0164256    Lin-Lin
 7E+06       0.0160811    Lin-Lin
 7.19926E+06 0.0143991    Lin-Lin
 7.34E+06    0.0132691    Lin-Lin
 7.4E+06     0.0131136    Lin-Lin
 7.5E+06     0.0131745    Lin-Lin
 7.6E+06     0.0143092    Lin-Lin
 7.8E+06     0.0178219    Lin-Lin
 8E+06       0.0234294    Lin-Lin
 8.1E+06     0.0260394    Lin-Lin
 8.2E+06     0.0271728    Lin-Lin
 8.3E+06     0.0275312    Lin-Lin
 8.6E+06     0.0278052    Lin-Lin
 8.7E+06     0.0290443    Lin-Lin
 8.8E+06     0.0313571    Lin-Lin
 9E+06       0.036984     Lin-Lin
 9.2E+06     0.0432154    Lin-Lin
 9.4E+06     0.0492426    Lin-Lin
 9.6E+06     0.053697     Lin-Lin
 9.8E+06     0.0561033    Lin-Lin
 1E+07       0.056996     Lin-Lin
 1.02E+07    0.058097     Lin-Lin
 1.04E+07    0.0588657    Lin-Lin
 1.06E+07    0.0594694    Lin-Lin
 1.08E+07    0.0602865    Lin-Lin
 1.1E+07     0.0611405    Lin-Lin
 1.12E+07    0.0616253    Lin-Lin
 1.14E+07    0.0612583    Lin-Lin
 1.16E+07    0.0603957    Lin-Lin
 1.18E+07    0.0594167    Lin-Lin
 1.2E+07     0.0586565    Lin-Lin
 1.22E+07    0.0575715    Lin-Lin
 1.24E+07    0.0570313    Lin-Lin
 1.26E+07    0.0560211    Lin-Lin
 1.28E+07    0.0536717    Lin-Lin
 1.3E+07     0.0513581    Lin-Lin
 1.32E+07    0.0498693    Lin-Lin
 1.34E+07    0.0484136    Lin-Lin
 1.36E+07    0.0470127    Lin-Lin
 1.38E+07    0.0457111    Lin-Lin
 1.4E+07     0.0444674    Lin-Lin
 1.42E+07    0.0433146    Lin-Lin
 1.44E+07    0.0422803    Lin-Lin
 1.45E+07    0.0416826    Lin-Lin
 1.46E+07    0.0410952    Lin-Lin
 1.48E+07    0.0399665    Lin-Lin
 1.5E+07     0.0388844    Lin-Lin
 1.55E+07    0.0363836    Lin-Lin
 1.6E+07     0.034145     Lin-Lin
 1.65E+07    0.0321271    Lin-Lin
 1.7E+07     0.0302645    Lin-Lin
 1.8E+07     0.0269295    Lin-Lin
 1.9E+07     0.024102     Lin-Lin
